"","trt","day","od"
"1","Dry_Low_Air",0,-0.000333333
"2","Dry_Low_Air",0,0.002166667
"3","Dry_Low_Air",0,0.000166667
"4","Dry_Low_Air",0,0.001666667
"5","Dry_Low_Air",0,0.002166667
"6","Dry_Low_Air",0,0.000666667
"7","Dry_Low_Air",0,0.000166667
"8","Dry_Low_Air",0,0.002166667
"9","Dry_Low_Air",0,0.001666667
"10","Dry_Low_Air",0,0.002666667
"11","Dry_Low_Air",0,0.001666667
"12","Dry_Low_Air",0,0.001666667
"13","Dry_Low_Air",0,0.002666667
"14","Dry_Low_Air",0,0.001166667
"15","Dry_Low_Air",0,0.000166667
"16","Dry_Low_Air",0,0.003666667
"17","Dry_Low_Air",0,0.000666667
"18","Dry_Low_Air",0,0.001666667
"19","Dry_Low_Air",0,0.000166667
"20","Dry_Low_Air",0,0.000166667
"21","Dry_Low_Air",0,0.003666667
"22","Dry_Low_Air",0,0.004666667
"23","Dry_Low_Air",0,0.000166667
"24","Dry_Low_Air",0,0.001166667
"25","Dry_Low_Air",0,-0.000333333
"26","Dry_Low_Air",0,0.002666667
"27","Dry_Low_Air",0,0.003166667
"28","Dry_Low_Air",0,0.004666667
"29","Dry_Low_Air",0,0.000666667
"30","Dry_Low_Air",0,0.001166667
"31","Wet_High_Frog",0,-0.000333333
"32","Wet_High_Frog",0,0.000166667
"33","Wet_High_Frog",0,0.000666667
"34","Wet_High_Frog",0,-0.000833333
"35","Wet_High_Frog",0,0.000166667
"36","Wet_High_Frog",0,-0.000833333
"37","Wet_High_Frog",0,0.000166667
"38","Wet_High_Frog",0,0.000666667
"39","Wet_High_Frog",0,0.000166667
"40","Wet_High_Frog",0,-0.000333333
"41","Wet_High_Frog",0,-0.000333333
"42","Wet_High_Frog",0,0.001166667
"43","Wet_High_Frog",0,0.002166667
"44","Wet_High_Frog",0,0.002666667
"45","Wet_High_Frog",0,0.001166667
"46","Wet_High_Frog",0,0.000166667
"47","Wet_High_Frog",0,-0.000833333
"48","Wet_High_Frog",0,0.000666667
"49","Wet_High_Frog",0,0.001166667
"50","Wet_High_Frog",0,0.002666667
"51","Wet_High_Frog",0,0.002166667
"52","Wet_High_Frog",0,0.000166667
"53","Wet_High_Frog",0,-0.000333333
"54","Wet_High_Frog",0,0.000166667
"55","Wet_High_Frog",0,-0.000833333
"56","Wet_High_Frog",0,-0.000333333
"57","Wet_High_Frog",0,-0.000833333
"58","Wet_High_Frog",0,0.000166667
"59","Wet_High_Frog",0,-8.33333e-05
"60","Wet_High_Frog",0,-0.000583333
"61","Wet_High_Frog",0,-8.33333e-05
"62","Wet_High_Frog",0,0.000416667
"63","Wet_High_Frog",0,0.000416667
"64","Wet_High_Frog",0,0.000916667
"65","Wet_High_Frog",0,-0.000583333
"66","Wet_High_Frog",0,-0.000583333
"67","Wet_High_Frog",0,0.001416667
"68","Wet_High_Frog",0,0.000416667
"69","Wet_High_Frog",0,-8.33333e-05
"70","Wet_High_Frog",0,0.000916667
"71","Wet_High_Frog",0,-0.000583333
"72","Wet_High_Frog",0,-0.000583333
"73","Wet_High_Frog",0,-8.33333e-05
"74","Wet_High_Frog",0,0.000416667
"75","Wet_High_Frog",0,0.000916667
"76","Wet_High_Frog",0,0.000416667
"77","Wet_High_Frog",0,-8.33333e-05
"78","Wet_High_Frog",0,-8.33333e-05
"79","Wet_High_Frog",0,0.001416667
"80","Wet_High_Frog",0,0.000416667
"81","Wet_High_Frog",0,0.000416667
"82","Wet_High_Frog",0,0.000416667
"83","Wet_High_Frog",0,-8.33333e-05
"84","Wet_High_Frog",0,0.001916667
"85","Wet_High_Frog",0,0.001416667
"86","Wet_High_Frog",0,0.000416667
"87","Wet_High_Frog",0,0.000916667
"88","Wet_Low_Frog",0,0.00025
"89","Wet_Low_Frog",0,0.00025
"90","Wet_Low_Frog",0,0.00075
"91","Wet_Low_Frog",0,0.00025
"92","Wet_Low_Frog",0,0.00225
"93","Wet_Low_Frog",0,-0.00025
"94","Wet_Low_Frog",0,-0.00025
"95","Wet_Low_Frog",0,-0.00025
"96","Wet_Low_Frog",0,0.00075
"97","Wet_Low_Frog",0,0.00075
"98","Wet_Low_Frog",0,0.00075
"99","Wet_Low_Frog",0,0.00025
"100","Wet_Low_Frog",0,0.00025
"101","Wet_Low_Frog",0,-0.00025
"102","Wet_Low_Frog",0,-0.00025
"103","Wet_Low_Frog",0,0.00175
"104","Wet_Low_Frog",0,-0.00075
"105","Wet_Low_Frog",0,0.00225
"106","Wet_Low_Frog",0,-0.00125
"107","Wet_Low_Frog",0,0.00075
"108","Wet_Low_Frog",0,0.00125
"109","Wet_Low_Frog",0,0.00175
"110","Wet_Low_Frog",0,0.00075
"111","Wet_Low_Frog",0,-0.00025
"112","Wet_Low_Frog",0,-0.00025
"113","Wet_Low_Frog",0,0.00025
"114","Wet_Low_Frog",0,0.00075
"115","Wet_Low_Frog",0,0.00025
"116","Wet_Low_Frog",0,0.00075
"117","Wet_Low_Frog",0,-0.00075
"118","Wet_Low_Frog",0,0.001416667
"119","Wet_Low_Frog",0,0.001916667
"120","Wet_Low_Frog",0,0.000916667
"121","Wet_Low_Frog",0,0.000916667
"122","Wet_Low_Frog",0,0.000916667
"123","Wet_Low_Frog",0,0.000416667
"124","Wet_Low_Frog",0,0.000416667
"125","Wet_Low_Frog",0,0.000416667
"126","Wet_Low_Frog",0,-8.33333e-05
"127","Wet_Low_Frog",0,0.002416667
"128","Wet_Low_Frog",0,0.000916667
"129","Wet_Low_Frog",0,0.000416667
"130","Wet_Low_Frog",0,0.000416667
"131","Wet_Low_Frog",0,0.000416667
"132","Wet_Low_Frog",0,-8.33333e-05
"133","Wet_Low_Frog",0,0.000416667
"134","Wet_Low_Frog",0,0.000916667
"135","Wet_Low_Frog",0,-8.33333e-05
"136","Wet_Low_Frog",0,-8.33333e-05
"137","Wet_Low_Frog",0,0.000916667
"138","Wet_Low_Frog",0,0.000416667
"139","Wet_Low_Frog",0,0.001416667
"140","Wet_Low_Frog",0,0.000416667
"141","Wet_Low_Frog",0,0.000416667
"142","Wet_Low_Frog",0,0.000416667
"143","Wet_Low_Frog",0,0.001416667
"144","Wet_Low_Frog",0,0.001916667
"145","Wet_Low_Frog",0,0.002416667
"146","Wet_Low_Frog",0,0.000916667
"147","Wet_Low_Frog",0,0.000916667
"148","Dry_Low_Air",1,-0.00075
"149","Dry_Low_Air",1,0.00175
"150","Dry_Low_Air",1,-0.00025
"151","Dry_Low_Air",1,0.00175
"152","Dry_Low_Air",1,0.00275
"153","Dry_Low_Air",1,0.00175
"154","Dry_Low_Air",1,0.00025
"155","Dry_Low_Air",1,0.00225
"156","Dry_Low_Air",1,0.00125
"157","Dry_Low_Air",1,0.00275
"158","Dry_Low_Air",1,0.00175
"159","Dry_Low_Air",1,0.00125
"160","Dry_Low_Air",1,0.00225
"161","Dry_Low_Air",1,0.00125
"162","Dry_Low_Air",1,0.00175
"163","Dry_Low_Air",1,0.00325
"164","Dry_Low_Air",1,0.00125
"165","Dry_Low_Air",1,0.00225
"166","Dry_Low_Air",1,-0.00025
"167","Dry_Low_Air",1,0.00025
"168","Dry_Low_Air",1,0.00475
"169","Dry_Low_Air",1,0.00475
"170","Dry_Low_Air",1,0.00125
"171","Dry_Low_Air",1,0.00225
"172","Dry_Low_Air",1,0.00025
"173","Dry_Low_Air",1,0.00175
"174","Dry_Low_Air",1,0.00275
"175","Dry_Low_Air",1,0.00625
"176","Dry_Low_Air",1,0.00275
"177","Dry_Low_Air",1,0.00125
"178","Wet_High_Frog",1,0.000666667
"179","Wet_High_Frog",1,0.003666667
"180","Wet_High_Frog",1,0.002166667
"181","Wet_High_Frog",1,0.001666667
"182","Wet_High_Frog",1,0.002166667
"183","Wet_High_Frog",1,-0.000333333
"184","Wet_High_Frog",1,0.003666667
"185","Wet_High_Frog",1,0.003666667
"186","Wet_High_Frog",1,0.001666667
"187","Wet_High_Frog",1,0.001666667
"188","Wet_High_Frog",1,0.000666667
"189","Wet_High_Frog",1,0.002166667
"190","Wet_High_Frog",1,0.003666667
"191","Wet_High_Frog",1,0.004666667
"192","Wet_High_Frog",1,0.002666667
"193","Wet_High_Frog",1,0.001666667
"194","Wet_High_Frog",1,0.001166667
"195","Wet_High_Frog",1,0.002166667
"196","Wet_High_Frog",1,0.003166667
"197","Wet_High_Frog",1,0.005666667
"198","Wet_High_Frog",1,0.005166667
"199","Wet_High_Frog",1,0.002666667
"200","Wet_High_Frog",1,0.001166667
"201","Wet_High_Frog",1,0.000666667
"202","Wet_High_Frog",1,-0.000333333
"203","Wet_High_Frog",1,0.001166667
"204","Wet_High_Frog",1,0.001166667
"205","Wet_High_Frog",1,0.003666667
"206","Wet_High_Frog",1,-5e-04
"207","Wet_High_Frog",1,0.001
"208","Wet_High_Frog",1,5e-04
"209","Wet_High_Frog",1,0
"210","Wet_High_Frog",1,0
"211","Wet_High_Frog",1,0
"212","Wet_High_Frog",1,-5e-04
"213","Wet_High_Frog",1,5e-04
"214","Wet_High_Frog",1,5e-04
"215","Wet_High_Frog",1,5e-04
"216","Wet_High_Frog",1,0
"217","Wet_High_Frog",1,0.001
"218","Wet_High_Frog",1,-5e-04
"219","Wet_High_Frog",1,0.001
"220","Wet_High_Frog",1,0
"221","Wet_High_Frog",1,5e-04
"222","Wet_High_Frog",1,0.0015
"223","Wet_High_Frog",1,5e-04
"224","Wet_High_Frog",1,-5e-04
"225","Wet_High_Frog",1,0
"226","Wet_High_Frog",1,0.003
"227","Wet_High_Frog",1,0.0015
"228","Wet_High_Frog",1,0
"229","Wet_High_Frog",1,0
"230","Wet_High_Frog",1,0.002
"231","Wet_High_Frog",1,0.003
"232","Wet_High_Frog",1,0.0025
"233","Wet_High_Frog",1,-5e-04
"234","Wet_High_Frog",1,5e-04
"235","Wet_Low_Frog",1,-5e-04
"236","Wet_Low_Frog",1,0.0025
"237","Wet_Low_Frog",1,0.0015
"238","Wet_Low_Frog",1,0.002
"239","Wet_Low_Frog",1,0.003
"240","Wet_Low_Frog",1,0
"241","Wet_Low_Frog",1,0.0015
"242","Wet_Low_Frog",1,-5e-04
"243","Wet_Low_Frog",1,0.001
"244","Wet_Low_Frog",1,0.0015
"245","Wet_Low_Frog",1,5e-04
"246","Wet_Low_Frog",1,-0.001
"247","Wet_Low_Frog",1,0.0015
"248","Wet_Low_Frog",1,-0.0015
"249","Wet_Low_Frog",1,0.0015
"250","Wet_Low_Frog",1,0.0035
"251","Wet_Low_Frog",1,0.001
"252","Wet_Low_Frog",1,-5e-04
"253","Wet_Low_Frog",1,-0.001
"254","Wet_Low_Frog",1,-5e-04
"255","Wet_Low_Frog",1,0.0025
"256","Wet_Low_Frog",1,0.0035
"257","Wet_Low_Frog",1,0.001
"258","Wet_Low_Frog",1,-0.001
"259","Wet_Low_Frog",1,-5e-04
"260","Wet_Low_Frog",1,5e-04
"261","Wet_Low_Frog",1,0
"262","Wet_Low_Frog",1,0.0015
"263","Wet_Low_Frog",1,0.0015
"264","Wet_Low_Frog",1,-0.001
"265","Wet_Low_Frog",1,0.00175
"266","Wet_Low_Frog",1,0.00075
"267","Wet_Low_Frog",1,0.00225
"268","Wet_Low_Frog",1,0.00125
"269","Wet_Low_Frog",1,0.00075
"270","Wet_Low_Frog",1,-0.00025
"271","Wet_Low_Frog",1,0.00075
"272","Wet_Low_Frog",1,0.00125
"273","Wet_Low_Frog",1,0.00075
"274","Wet_Low_Frog",1,0.00425
"275","Wet_Low_Frog",1,0.00175
"276","Wet_Low_Frog",1,0.00025
"277","Wet_Low_Frog",1,0.00075
"278","Wet_Low_Frog",1,0.00275
"279","Wet_Low_Frog",1,0.00275
"280","Wet_Low_Frog",1,0.00425
"281","Wet_Low_Frog",1,0.00175
"282","Wet_Low_Frog",1,0.00075
"283","Wet_Low_Frog",1,0.00025
"284","Wet_Low_Frog",1,0.00375
"285","Wet_Low_Frog",1,0.00325
"286","Wet_Low_Frog",1,0.00525
"287","Wet_Low_Frog",1,0.00425
"288","Wet_Low_Frog",1,0.00075
"289","Wet_Low_Frog",1,0.00075
"290","Wet_Low_Frog",1,0.00475
"291","Wet_Low_Frog",1,0.00725
"292","Wet_Low_Frog",1,0.00725
"293","Wet_Low_Frog",1,0.00175
"294","Wet_Low_Frog",1,0.00325
"295","Dry_Low_Air",2,-0.002916667
"296","Dry_Low_Air",2,8.33333e-05
"297","Dry_Low_Air",2,-0.001416667
"298","Dry_Low_Air",2,8.33333e-05
"299","Dry_Low_Air",2,0.001583333
"300","Dry_Low_Air",2,-0.000916667
"301","Dry_Low_Air",2,-0.001916667
"302","Dry_Low_Air",2,0.001083333
"303","Dry_Low_Air",2,8.33333e-05
"304","Dry_Low_Air",2,0.001583333
"305","Dry_Low_Air",2,0.000583333
"306","Dry_Low_Air",2,-0.000416667
"307","Dry_Low_Air",2,0.000583333
"308","Dry_Low_Air",2,-0.000416667
"309","Dry_Low_Air",2,-0.000416667
"310","Dry_Low_Air",2,0.001583333
"311","Dry_Low_Air",2,-0.000916667
"312","Dry_Low_Air",2,8.33333e-05
"313","Dry_Low_Air",2,-0.001916667
"314","Dry_Low_Air",2,-0.001416667
"315","Dry_Low_Air",2,0.005583333
"316","Dry_Low_Air",2,0.004583333
"317","Dry_Low_Air",2,8.33333e-05
"318","Dry_Low_Air",2,8.33333e-05
"319","Dry_Low_Air",2,-0.001416667
"320","Dry_Low_Air",2,0.001583333
"321","Dry_Low_Air",2,0.001583333
"322","Dry_Low_Air",2,0.006583333
"323","Dry_Low_Air",2,0.001083333
"324","Dry_Low_Air",2,-0.000416667
"325","Wet_High_Frog",2,0.001333333
"326","Wet_High_Frog",2,0.006333333
"327","Wet_High_Frog",2,0.002833333
"328","Wet_High_Frog",2,0.002333333
"329","Wet_High_Frog",2,0.001833333
"330","Wet_High_Frog",2,0.000333333
"331","Wet_High_Frog",2,0.003833333
"332","Wet_High_Frog",2,0.004833333
"333","Wet_High_Frog",2,0.001833333
"334","Wet_High_Frog",2,0.001333333
"335","Wet_High_Frog",2,0.000333333
"336","Wet_High_Frog",2,0.002833333
"337","Wet_High_Frog",2,0.006833333
"338","Wet_High_Frog",2,0.009833333
"339","Wet_High_Frog",2,0.007333333
"340","Wet_High_Frog",2,0.004333333
"341","Wet_High_Frog",2,0.001333333
"342","Wet_High_Frog",2,0.003833333
"343","Wet_High_Frog",2,0.005833333
"344","Wet_High_Frog",2,0.010833333
"345","Wet_High_Frog",2,0.008333333
"346","Wet_High_Frog",2,0.003833333
"347","Wet_High_Frog",2,0.000833333
"348","Wet_High_Frog",2,0.001333333
"349","Wet_High_Frog",2,0.000333333
"350","Wet_High_Frog",2,0.001333333
"351","Wet_High_Frog",2,0.000833333
"352","Wet_High_Frog",2,0.001333333
"353","Wet_High_Frog",2,0.000833333
"354","Wet_High_Frog",2,0.001333333
"355","Wet_High_Frog",2,0.001333333
"356","Wet_High_Frog",2,0.001333333
"357","Wet_High_Frog",2,0.001833333
"358","Wet_High_Frog",2,0.000833333
"359","Wet_High_Frog",2,0.001333333
"360","Wet_High_Frog",2,0.002333333
"361","Wet_High_Frog",2,0.002333333
"362","Wet_High_Frog",2,0.003833333
"363","Wet_High_Frog",2,0.000833333
"364","Wet_High_Frog",2,0.001333333
"365","Wet_High_Frog",2,0.000833333
"366","Wet_High_Frog",2,0.003833333
"367","Wet_High_Frog",2,0.000833333
"368","Wet_High_Frog",2,0.002333333
"369","Wet_High_Frog",2,0.002333333
"370","Wet_High_Frog",2,0.001333333
"371","Wet_High_Frog",2,0.001833333
"372","Wet_High_Frog",2,0.001333333
"373","Wet_High_Frog",2,0.007333333
"374","Wet_High_Frog",2,0.003833333
"375","Wet_High_Frog",2,0.005333333
"376","Wet_High_Frog",2,0.001333333
"377","Wet_High_Frog",2,0.004333333
"378","Wet_High_Frog",2,0.007333333
"379","Wet_High_Frog",2,0.006833333
"380","Wet_High_Frog",2,0.000833333
"381","Wet_High_Frog",2,0.001833333
"382","Wet_Low_Frog",2,0.001916667
"383","Wet_Low_Frog",2,0.003916667
"384","Wet_Low_Frog",2,0.003416667
"385","Wet_Low_Frog",2,0.006416667
"386","Wet_Low_Frog",2,0.005916667
"387","Wet_Low_Frog",2,0.003916667
"388","Wet_Low_Frog",2,0.003416667
"389","Wet_Low_Frog",2,0.001416667
"390","Wet_Low_Frog",2,0.001916667
"391","Wet_Low_Frog",2,0.004916667
"392","Wet_Low_Frog",2,0.002416667
"393","Wet_Low_Frog",2,0.002416667
"394","Wet_Low_Frog",2,0.003416667
"395","Wet_Low_Frog",2,0.000416667
"396","Wet_Low_Frog",2,0.006416667
"397","Wet_Low_Frog",2,0.010416667
"398","Wet_Low_Frog",2,0.000416667
"399","Wet_Low_Frog",2,0.001416667
"400","Wet_Low_Frog",2,0.001916667
"401","Wet_Low_Frog",2,0.003916667
"402","Wet_Low_Frog",2,0.007916667
"403","Wet_Low_Frog",2,0.011916667
"404","Wet_Low_Frog",2,0.005416667
"405","Wet_Low_Frog",2,0.003916667
"406","Wet_Low_Frog",2,0.001416667
"407","Wet_Low_Frog",2,0.003416667
"408","Wet_Low_Frog",2,0.001416667
"409","Wet_Low_Frog",2,0.004416667
"410","Wet_Low_Frog",2,0.005416667
"411","Wet_Low_Frog",2,0.001416667
"412","Wet_Low_Frog",2,0.002333333
"413","Wet_Low_Frog",2,0.001333333
"414","Wet_Low_Frog",2,0.001833333
"415","Wet_Low_Frog",2,0.002333333
"416","Wet_Low_Frog",2,0.002333333
"417","Wet_Low_Frog",2,0.000833333
"418","Wet_Low_Frog",2,0.002833333
"419","Wet_Low_Frog",2,0.003333333
"420","Wet_Low_Frog",2,0.003333333
"421","Wet_Low_Frog",2,0.006833333
"422","Wet_Low_Frog",2,0.002833333
"423","Wet_Low_Frog",2,0.001833333
"424","Wet_Low_Frog",2,0.002333333
"425","Wet_Low_Frog",2,0.005333333
"426","Wet_Low_Frog",2,0.005333333
"427","Wet_Low_Frog",2,0.007833333
"428","Wet_Low_Frog",2,0.002833333
"429","Wet_Low_Frog",2,0.002833333
"430","Wet_Low_Frog",2,0.002333333
"431","Wet_Low_Frog",2,0.006333333
"432","Wet_Low_Frog",2,0.005333333
"433","Wet_Low_Frog",2,0.007333333
"434","Wet_Low_Frog",2,0.005333333
"435","Wet_Low_Frog",2,0.002833333
"436","Wet_Low_Frog",2,0.001833333
"437","Wet_Low_Frog",2,0.007833333
"438","Wet_Low_Frog",2,0.008833333
"439","Wet_Low_Frog",2,0.010833333
"440","Wet_Low_Frog",2,0.003333333
"441","Wet_Low_Frog",2,0.001833333
"442","Dry_Low_Air",3,0.00225
"443","Dry_Low_Air",3,0.00225
"444","Dry_Low_Air",3,0.00075
"445","Dry_Low_Air",3,0.00275
"446","Dry_Low_Air",3,0.00325
"447","Dry_Low_Air",3,0.00175
"448","Dry_Low_Air",3,0.00075
"449","Dry_Low_Air",3,0.00425
"450","Dry_Low_Air",3,0.00275
"451","Dry_Low_Air",3,0.00325
"452","Dry_Low_Air",3,0.00325
"453","Dry_Low_Air",3,-0.00025
"454","Dry_Low_Air",3,0.00525
"455","Dry_Low_Air",3,0.00125
"456","Dry_Low_Air",3,0.00125
"457","Dry_Low_Air",3,0.00325
"458","Dry_Low_Air",3,0.00075
"459","Dry_Low_Air",3,0.00175
"460","Dry_Low_Air",3,-0.00025
"461","Dry_Low_Air",3,0.00075
"462","Dry_Low_Air",3,0.00925
"463","Dry_Low_Air",3,0.00625
"464","Dry_Low_Air",3,0.00375
"465","Dry_Low_Air",3,0.00175
"466","Dry_Low_Air",3,0.00375
"467","Dry_Low_Air",3,0.00325
"468","Dry_Low_Air",3,0.00325
"469","Dry_Low_Air",3,0.00825
"470","Dry_Low_Air",3,0.00575
"471","Dry_Low_Air",3,0.00125
"472","Wet_High_Frog",3,0.00225
"473","Wet_High_Frog",3,0.00675
"474","Wet_High_Frog",3,0.00525
"475","Wet_High_Frog",3,0.00325
"476","Wet_High_Frog",3,0.00325
"477","Wet_High_Frog",3,0.00075
"478","Wet_High_Frog",3,0.00475
"479","Wet_High_Frog",3,0.00625
"480","Wet_High_Frog",3,0.00425
"481","Wet_High_Frog",3,0.00275
"482","Wet_High_Frog",3,0.00225
"483","Wet_High_Frog",3,0.00525
"484","Wet_High_Frog",3,0.00725
"485","Wet_High_Frog",3,0.00825
"486","Wet_High_Frog",3,0.00825
"487","Wet_High_Frog",3,0.00475
"488","Wet_High_Frog",3,0.00325
"489","Wet_High_Frog",3,0.00575
"490","Wet_High_Frog",3,0.00525
"491","Wet_High_Frog",3,0.01075
"492","Wet_High_Frog",3,0.00925
"493","Wet_High_Frog",3,0.00425
"494","Wet_High_Frog",3,0.00375
"495","Wet_High_Frog",3,0.00575
"496","Wet_High_Frog",3,0.00175
